# Time-averaged data for fix 3
# TimeStep c_output_pressure v_lx v_ly v_lz
172000 -7.40584 35.9892 160.642 22.1553
173000 2.12623 35.953 160.716 22.1686
174000 -2.53957 35.9335 160.629 22.1716
175000 6.77523 35.9323 160.725 22.154
176000 -12.8525 35.9657 160.702 22.1266
177000 6.18817 35.9328 160.78 22.17
178000 -0.0135971 35.922 160.718 22.193
179000 7.0866 35.918 160.829 22.1621
180000 1.79798 35.9387 160.589 22.1658
181000 -0.977418 35.9435 160.638 22.2
182000 -0.0524772 35.8785 160.889 22.2198
183000 6.03026 35.9871 160.704 22.1243
184000 3.2209 35.9607 160.472 22.173
185000 -8.2271 35.8762 160.725 22.1844
186000 11.2909 35.917 160.758 22.1699
187000 -10.6378 35.9295 160.659 22.1436
188000 11.6938 35.8957 160.695 22.1654
189000 2.13913 35.923 160.871 22.1839
190000 -1.47771 35.9064 160.666 22.1893
191000 8.76368 35.9193 160.852 22.168
192000 3.38485 35.891 160.884 22.1816
193000 -12.149 35.8614 160.742 22.2388
194000 11.7614 35.9059 160.641 22.176
195000 -0.566831 35.9202 160.73 22.1842
196000 -15.72 35.9223 160.787 22.1952
197000 10.3973 35.8842 160.682 22.1895
198000 -0.174715 35.8874 160.555 22.176
199000 7.4098 35.8394 160.801 22.2115
200000 9.46535 35.8301 160.918 22.2316
201000 -10.2552 35.9388 160.617 22.2028
202000 -6.3569 35.9383 160.642 22.1934
203000 14.3858 35.8553 160.899 22.2212
204000 -7.04533 35.8999 160.99 22.2193
205000 6.86257 35.9218 160.575 22.1885
206000 -1.84723 35.9224 160.889 22.1843
207000 2.6974 35.8889 160.708 22.2384
208000 12.5337 35.8131 160.937 22.2314
209000 -8.7024 35.9323 160.779 22.1681
210000 8.42244 35.8637 160.753 22.2262
211000 3.33173 35.8752 160.647 22.206
212000 7.91946 35.8689 160.893 22.2128
213000 -1.21692 35.9129 160.75 22.2281
214000 -3.93192 35.9888 160.674 22.1964
215000 0.144386 35.8722 160.942 22.2059
216000 -7.76816 35.8784 160.808 22.2097
217000 4.46853 35.94 160.684 22.2053
218000 6.34465 35.8667 160.86 22.2106
219000 4.99352 35.9571 160.619 22.1443
220000 -1.57989 35.8594 160.887 22.2147
221000 -4.04141 35.8514 160.867 22.2024
222000 8.02958 35.8957 160.85 22.1763
223000 1.59015 35.8972 160.858 22.1506
224000 -7.30935 35.9055 160.8 22.1705
225000 0.986379 35.8632 160.793 22.2057
226000 10.0962 35.9179 160.907 22.166
227000 -9.99256 35.9719 160.65 22.1843
228000 6.99543 35.8444 160.896 22.222
229000 -0.925303 35.8865 160.895 22.1626
230000 5.34922 35.9748 160.66 22.1605
